"","title","details","points","price_info","price_info2"
"1","


レジディアイマデガワ
レジディア今出川","所在地
〒602-0931　京都府京都市上京区堀出シ町
最寄り駅

京都市営バス「今出川新町」停徒歩1分
京都市営烏丸線「今出川」駅 徒歩3分
間取り／面積

1R／22.2m2～25.5m2
契約年数
2年

更新料
6万円
完成年月
1999年03月
向き
東、西
階数・全部屋数

地上7階
建　154部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
室内洗濯置場／セパレート（バス・トイレ）／電化キッチン（IH）／エアコン／インターフォン／センサー感知ライト／クローゼット／シューズケース／吊棚／フローリング／バルコニー／居室仕切ドア
共同設備
オートロック／エレベータ／宅配ボックス／防犯カメラ／駐輪場(原付まで)／BSアンテナ／インターネット対応
取引様態
媒介
","同志社大（今出川）徒歩5分
コンビニ徒歩3分
スーパー徒歩2分
","賃料

5.5万円～6.75万円
敷金
8万円
入館金
12万円
設備維持費
6,500円
備考

衛生費500円（税別）/月




















","賃料

5.5万円～6.75万円
敷金
8万円
入館金
12万円
設備維持費
6,500円
備考

衛生費500円（税別）/月
"
"2","


ケイティマンション
KTマンション","所在地
〒602-0032　京都府京都市上京区岡松町
最寄り駅

京都市営烏丸線「今出川」駅 徒歩1分
間取り／面積

1R／15.1m2～15.6m2
契約年数
2年

更新料
1ヶ月分
完成年月
1984年03月
向き
南、西、北
階数・全部屋数

地上3階
建　45部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
ユニットバス／電化キッチン（IH）／エアコン／クローゼット／フローリング
共同設備
コインランドリー／駐輪場／インターネット対応（無料）
取引様態
媒介
","駅徒歩1分
光ネット無料
生活便利
","賃料

3.9万円
共益費
4,500円
敷金
なし
礼金
5万円


















","賃料

3.9万円
共益費
4,500円
敷金
なし
礼金
5万円
"
"3","


チクヤママンション
築山マンション","所在地
〒602-0034　京都府京都市上京区築山南半町
最寄り駅

京都市営烏丸線「今出川」駅 徒歩4分
京阪本線「出町柳」駅 徒歩19分
叡山電鉄叡山本線「出町柳」駅 自転車7分(約1.7km)
間取り／面積

1R／16m2／7帖
契約年数
1年

更新料
1.1万円
完成年月
1987年01月
向き
東
階数・全部屋数

地上3階
建　12部屋

物件種別
マンション
構造
鉄骨造
損害保険
要
各室専用設備
シャワー／ユニットバス／エアコン
共同設備
コインランドリー／駐輪場／駐輪場(原付まで)
取引様態
媒介
","地下鉄烏丸線「今出川」駅徒歩4分
同志社大生にオススメ
家賃リーズナブル
","賃料

3.8万円
管理費
5,500円
敷金
5万円
礼金
5万円




















","賃料

3.8万円
管理費
5,500円
敷金
5万円
礼金
5万円
"
"4","


オオヒハイツ
大樋ハイツ","所在地
〒602-0031　京都府京都市上京区裏築地町93番4
最寄り駅

京都市営烏丸線「今出川」駅 徒歩3分
京阪本線「出町柳」駅 自転車7分(約1.6km)
叡山電鉄叡山本線「出町柳」駅 自転車7分(約1.7km)
間取り／面積

1R／15m2／6帖
契約年数
1年

更新料
なし
完成年月
1980年03月
向き
西
階数・全部屋数

地上3階
建　0部屋

物件種別
マンション
構造
鉄骨造
損害保険
要
各室専用設備
シャワー／ガスコンロ／エアコン
共同設備
コインランドリー／駐輪場／バイク置場
取引様態
媒介
","地下鉄「今出川」駅徒歩3分
同志社大生にオススメ
家賃リーズナブル
","賃料

2.6万円
管理費
4,000円
敷金
4万円
礼金
2万円









間取り










","賃料

2.6万円
管理費
4,000円
敷金
4万円
礼金
2万円
"
"5","


グリーンヒルカミタチウリ
グリーンヒル上立売","所在地
〒602-0022　京都府京都市上京区上立売東町34-1
最寄り駅

京都市営烏丸線「今出川」駅 徒歩4分
京都市営烏丸線「鞍馬口」駅 徒歩10分
京阪本線「出町柳」駅 自転車7分(約1.7km)
間取り／面積

1K／21m2～25m2／6帖
契約年数
1年

更新料
なし
完成年月
1994年03月
向き
東
階数・全部屋数

地上4階
建　18部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
室内洗濯置場／セパレート（バス・トイレ）／洗面（浴室別）／ガスキッチン２口／エアコン／シューズケース／バルコニー／居室照明器具
共同設備
オートロック／駐輪場
取引様態
媒介
","駅近
独立洗面化粧台
コンビニ徒歩圏内
","賃料

5万円～5.3万円
共益費
2,500円
敷金
なし
礼金
8万円




















","賃料

5万円～5.3万円
共益費
2,500円
敷金
なし
礼金
8万円
"
"6","


メゾンドリュート
メゾン・ド・リュート","所在地
〒602-0931　京都府京都市上京区堀出シ町
最寄り駅

京都市営烏丸線「今出川」駅 徒歩4分
京阪本線「出町柳」駅 徒歩18分
叡山電鉄叡山本線「出町柳」駅 自転車7分(約1.7km)
間取り／面積

1K／20.8m2
契約年数
2年

更新料
なし
完成年月
1987年08月
向き
北
階数・全部屋数

地上10階
建　40部屋

物件種別
マンション
構造
鉄骨鉄筋コンクリート造
損害保険
要
各室専用設備
シャワー／室内洗濯置場／ユニットバス／セパレート（バス・トイレ）／ガスコンロ設置可／エアコン／クローゼット／フローリング／バルコニー
共同設備
オートロック／エレベータ／コインランドリー／駐輪場
設備備考
コンビニ近い／冷房／暖房
取引様態
媒介
","駅徒歩3分
地下鉄「今出川」駅徒歩3分
周辺環境充実
","賃料

4万円～6万円
管理費
5,000円
敷金
1.5ヶ月分
礼金
なし




















","賃料

4万円～6万円
管理費
5,000円
敷金
1.5ヶ月分
礼金
なし
"
"7","


ラナップスクエアキョウトキタノ
ラナップスクエア京都北野","所在地
〒602-8374　京都府京都市上京区西町
最寄り駅

京福電気鉄道北野線「北野白梅町」駅 徒歩1分
間取り／面積

1K／20.3m2
契約年数
2年

更新料
なし
完成年月
2000年08月
向き
南東
階数・全部屋数

地上7階
建　49部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
室内洗濯置場／セパレート（バス・トイレ）／ガスコンロ／冷蔵庫（１ドア）／エアコン／吊棚／バルコニー／居室照明器具
共同設備
オートロック／エレベータ／宅配ボックス／駐輪場／BSアンテナ
取引様態
媒介
","駅徒歩1分
スーパー徒歩2分
コンビニ徒歩4分
","賃料

5.7万円～6.1万円
管理費
0円～6,900円
敷金
3万円
礼金
7万円～13万円




















","賃料

5.7万円～6.1万円
管理費
0円～6,900円
敷金
3万円
礼金
7万円～13万円
"
"8","


ダイジュウイチチョウエイシャトーイズミ
第11長栄シャトー泉","所在地
〒602-0024　京都府京都市上京区上立売町
最寄り駅

京都市営烏丸線「今出川」駅 徒歩6分
京都市営烏丸線「鞍馬口」駅 徒歩10分
間取り／面積

1K／16m2～18m2／6帖
契約年数
2年

更新料
3.6万円
完成年月
1983年09月
向き
北、南
階数・全部屋数

地上3階
建　18部屋

物件種別
マンション
構造
鉄骨造
損害保険
要
各室専用設備
室内洗濯置場／ガスコンロ設置可／エアコン／クローゼット／フローリング／バルコニー
共同設備
コインランドリー／駐輪場(原付まで)
取引様態
媒介
","交通便利
広々キッチン
生活便利
","賃料

3.5万円～3.9万円
管理費
3,000円
敷金
3.9万円
礼金
3.9万円
設備維持費
0円～2,000円




















","賃料

3.5万円～3.9万円
管理費
3,000円
敷金
3.9万円
礼金
3.9万円
設備維持費
0円～2,000円
"
"9","


ピラーズゴショニシ
ピラーズ御所西","所在地
〒602-0907　京都府京都市上京区福長町532-2
最寄り駅

京都市営烏丸線「今出川」駅 徒歩5分
京都市営烏丸線「鞍馬口」駅 徒歩17分
京阪本線「出町柳」駅 自転車7分(約1.6km)
間取り／面積

1K／23m2／10帖
契約年数
2年

更新料
1ヶ月分
完成年月
1997年03月
向き
南
階数・全部屋数

地上4階
建　0部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
室内洗濯置場／セパレート（バス・トイレ）／ガスコンロ／エアコン／クローゼット／バルコニー／居室仕切ドア
共同設備
防犯カメラ
設備備考
給湯（ガス）／冷房
取引様態
媒介
","防犯カメラ
同志社大徒歩6分
室内洗濯機置場
","賃料

5万円
管理費
4,000円
敷金
1ヶ月分
礼金
1ヶ月分
設備維持費
2,000円




















","賃料

5万円
管理費
4,000円
敷金
1ヶ月分
礼金
1ヶ月分
設備維持費
2,000円
"
"10","


デ・リードゴショニシ
デ・リード御所西","所在地
〒602-0941　京都府京都市上京区南兼康町341-2
最寄り駅

京都市営烏丸線「今出川」駅 徒歩6分
京都市営烏丸線「鞍馬口」駅 徒歩16分
京都市営烏丸線「丸太町」駅 自転車8分(約1.8km)
間取り／面積

3LDK／58.6m2／10.3帖
契約年数
2年

更新料
14.5万円
完成年月
1994年10月
向き
南
階数・全部屋数

地上11階
建　63部屋

物件種別
マンション
構造
鉄骨鉄筋コンクリート造
損害保険
要
各室専用設備
室内洗濯置場／洗面（浴室別）／ガスコンロ／エアコン／シューズケース／バルコニー
共同設備
オートロック／エレベータ／防犯カメラ／駐輪場／BSアンテナ
設備備考
給湯（ガス）／専用トイレ（水洗）
取引様態
媒介
","オートロック
エレベータ
3LDKタイプ
","賃料

14万円
敷金
なし
礼金
なし
保証金
40万円




















","賃料

14万円
敷金
なし
礼金
なし
保証金
40万円
"
